,name,rating,stars,price,location,distance,link,description
255,Locami Apartment Gorla M1,,4,997,"Viale Monza, Milán",5.7,https://www.booking.com/hotel/it/locami-apartment-gorla-m1.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AreOi70GwAIB0gIkMmI0OWIxNzMtYzc3ZS00ZDgwLWFmODctODE5ODNkMzdiOGVk2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-03-01&checkout=2025-03-08&dest_id=-121726&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=256&sr_order=popularity&srpvid=190c0ebfd5eb00b2&srepoch=1738721211&all_sr_blocks=1319357201_404648674_2_0_0&highlighted_blocks=1319357201_404648674_2_0_0&matching_block_id=1319357201_404648674_2_0_0&sr_pri_blocks=1319357201_404648674_2_0_0__99693&from=searchresults,"Locami Apartment Gorla M1 está en Milán, a 3,8 km de Estación de metro Lambrate, a 5 km de Estación de metro Centrale y a 5,6 km de GAM Milano, y dispone de balcón. Tiene salón de uso común, terraza, vistas a la ciudad y wifi gratis en todo el alojamiento.

Este apartamento con aire acondicionado consta de 1 dormitorio, una sala de estar, una cocina totalmente equipada con nevera y cafetera, y 1 baño con bidet y ducha. Hay toallas y ropa de cama en el apartamento.

Villa Necchi Campiglio está a 5,9 km del alojamiento, y Bosco Verticale está a 6,1 km. El aeropuerto (Aeropuerto de Milán - Linate) está a 10 km."
256,Art Hotel Navigli,"8,6",4,1.241,"Navigli, Milán",2.2,https://www.booking.com/hotel/it/art-hotel-navigli.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AreOi70GwAIB0gIkMmI0OWIxNzMtYzc3ZS00ZDgwLWFmODctODE5ODNkMzdiOGVk2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-03-01&checkout=2025-03-08&dest_id=-121726&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=257&sr_order=popularity&srpvid=190c0ebfd5eb00b2&srepoch=1738721211&all_sr_blocks=8008306_368335247_0_2_0&highlighted_blocks=8008306_368335247_0_2_0&matching_block_id=8008306_368335247_0_2_0&sr_pri_blocks=8008306_368335247_0_2_0__124119&from=searchresults,"El Art Hotel está ubicado en la animada zona milanesa de Navigli, expone una colección de escultura y pintura de arte moderno y ofrece aparcamiento privado interno de pago y habitaciones con WiFi gratuita, minibar y hervidor eléctrico.

La zona de Navigli es famosa por sus bares, restaurantes y boutiques. Está muy bien comunicado por metro con el centro de Milán. La estación de metro Porta Genova queda a 5 minutos a pie.

Cada habitación del Art Hotel Navigli dispone de aire acondicionado y TV de pantalla plana con canales vía satélite. Algunas habitaciones tienen balcón privado.

Se sirve un desayuno buffet de estilo americano con una amplia variedad de productos dulces y salados. Hay aparcamiento cubierto en garaje, 5 salas para reuniones bien iluminadas y un gran vestíbulo con bar. La última planta alberga una terraza, un gimnasio y un centro de fitness con sauna y baño turco.

Hay obras de arte de artistas internacionales como Arnaldo Pomodoro, Dalí y Man Ray expuestas por todo el hotel. Cuenta con jardín y una terraza en la 6ª planta."
257,Milano Manzoni CLC Apartments,"9,4",4,2.539,"Centro de Milán, Milán",1.1,https://www.booking.com/hotel/it/milano-clc-apartment.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AreOi70GwAIB0gIkMmI0OWIxNzMtYzc3ZS00ZDgwLWFmODctODE5ODNkMzdiOGVk2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-03-01&checkout=2025-03-08&dest_id=-121726&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=21&hapos=258&sr_order=popularity&srpvid=190c0ebfd5eb00b2&srepoch=1738721211&all_sr_blocks=331511504_115619884_2_0_0&highlighted_blocks=331511504_115619884_2_0_0&matching_block_id=331511504_115619884_2_0_0&sr_pri_blocks=331511504_115619884_2_0_0__253940&from=searchresults,"Milano Manzoni CLC Apartments ofrece vistas a la ciudad y wifi gratis. Ofrece alojamiento bien situado en el centro de Milán, a poca distancia de GAM Milano, Villa Necchi Campiglio y Pinacoteca de Brera.

El alojamiento tiene aire acondicionado, cocina totalmente equipada y con zona de comedor, TV de pantalla plana y baño privado con bidet, artículos de aseo gratuitos y secador de pelo. También hay nevera, lavavajillas y microondas, además de cafetera y hervidor.

Cerca del alojamiento hay puntos de interés como Estación de metro San Babila, Montenapoleone Metro Station y La Scala. El aeropuerto (Aeropuerto de Milán - Linate) está a 8 km, y el alojamiento ofrece servicio de traslado de pago para ir o volver del aeropuerto."
258,Hotel Siena,"7,0",2,640,"Estación central, Milán",1.8,https://www.booking.com/hotel/it/hotelsienamilano.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AreOi70GwAIB0gIkMmI0OWIxNzMtYzc3ZS00ZDgwLWFmODctODE5ODNkMzdiOGVk2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-03-01&checkout=2025-03-08&dest_id=-121726&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=22&hapos=259&sr_order=popularity&srpvid=190c0ebfd5eb00b2&srepoch=1738721211&all_sr_blocks=8087002_364898294_0_0_0&highlighted_blocks=8087002_364898294_0_0_0&matching_block_id=8087002_364898294_0_0_0&sr_pri_blocks=8087002_364898294_0_0_0__64000&from=searchresults,"Encontrarás habitaciones sencillas a precios razonables en este hotel de 2 estrellas, ubicado entre la estación de tren principal de Milán y el centro histórico.

Con un personal joven y amable, el Hotel Siena es ideal para el viajero con poco presupuesto que busca un alojamiento sencillo y sin lujos.

Estarás a solo 200 metros de los autobuses y tranvías públicos. El metro está a solo 5 minutos a pie del Hotel Siena. Puedes ir de compras en el famoso Corso Buenos Aires, ya que está cerca.

El Hotel Siena ofrece alojamiento básico. Algunas habitaciones cuentan con ducha y lavabo, con aseos compartidos en el pasillo de la misma planta.

Las habitaciones con baño cuentan con baños privados muy pequeños. Todos los muebles están limpios en el Hotel Siena y tendrás un televisor en cada tipo de habitación.

Disfrute del bar del Hotel Siena y de la recepción disponible las 24 horas."
259,Farini,"7,0",4,1.405,"Bicocca - Zara, Milán",3.5,https://www.booking.com/hotel/it/farini-milano.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AreOi70GwAIB0gIkMmI0OWIxNzMtYzc3ZS00ZDgwLWFmODctODE5ODNkMzdiOGVk2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-03-01&checkout=2025-03-08&dest_id=-121726&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=260&sr_order=popularity&srpvid=190c0ebfd5eb00b2&srepoch=1738721217&all_sr_blocks=795436402_339627081_3_0_0&highlighted_blocks=795436402_339627081_3_0_0&matching_block_id=795436402_339627081_3_0_0&sr_pri_blocks=795436402_339627081_3_0_0__140529&from=searchresults,"Farini está en Milán, a 17 min a pie de Bosco Verticale y a 2,7 km de Estación de metro Centrale, y ofrece alojamiento con equipamiento como wifi gratis y TV. Este apartamento está a 2,7 km de Arena Civica y a 3,3 km de Pinacoteca de Brera.

Este apartamento con aire acondicionado consta de 1 dormitorio, una sala de estar, una cocina totalmente equipada con nevera y cafetera, y 1 baño con bidet y ducha. Hay toallas y ropa de cama en el apartamento.

Castillo Sforzesco está a 3,5 km del alojamiento, y GAM Milano está a 4,3 km. El aeropuerto (Aeropuerto de Milán - Linate) está a 11 km."
260,Stupendo appartamento Prealpi,"8,2",,989,Milán,4.4,https://www.booking.com/hotel/it/stupendo-appartamento-prealpi.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AreOi70GwAIB0gIkMmI0OWIxNzMtYzc3ZS00ZDgwLWFmODctODE5ODNkMzdiOGVk2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-03-01&checkout=2025-03-08&dest_id=-121726&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=261&sr_order=popularity&srpvid=190c0ebfd5eb00b2&srepoch=1738721217&all_sr_blocks=1209782301_393139620_2_0_0&highlighted_blocks=1209782301_393139620_2_0_0&matching_block_id=1209782301_393139620_2_0_0&sr_pri_blocks=1209782301_393139620_2_0_0__98910&from=searchresults,"Stupendo appartamento Prealpi se encuentra en Milán, a 1,8 km de Fiera Milano y a 2,9 km de CityLife, y ofrece alojamiento con equipamiento como wifi gratis y TV de pantalla plana. El alojamiento ofrece vistas al jardín y está a 3,6 km de Arena Civica y a 4,2 km de Estadio San Siro.

Este apartamento con aire acondicionado consta de 1 dormitorio, una sala de estar, una cocina totalmente equipada con nevera y cafetera, y 1 baño con bidet y ducha. Hay toallas y ropa de cama en el apartamento.

Castillo Sforzesco está a 4,4 km del alojamiento, y Pinacoteca de Brera está a 4,5 km. El aeropuerto (Aeropuerto de Milán - Linate) está a 12 km."
261,Comfortable and spacious apartment in Milan,"8,6",3,796,"Viale Monza, Milán",5.4,https://www.booking.com/hotel/it/comfortable-and-spacious-apartment-in-milan.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AreOi70GwAIB0gIkMmI0OWIxNzMtYzc3ZS00ZDgwLWFmODctODE5ODNkMzdiOGVk2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-03-01&checkout=2025-03-08&dest_id=-121726&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=262&sr_order=popularity&srpvid=190c0ebfd5eb00b2&srepoch=1738721217&all_sr_blocks=1179431401_390444614_3_0_0&highlighted_blocks=1179431401_390444614_3_0_0&matching_block_id=1179431401_390444614_3_0_0&sr_pri_blocks=1179431401_390444614_3_0_0__79627&from=searchresults,"Comfortable and spacious apartment in Milan está en el barrio de Viale Monza, en Milán, a 3,9 km de Estación de metro Centrale y a 4,1 km de Estación de metro Lambrate, y ofrece alojamiento equipado con balcón y wifi gratis. Este apartamento tiene acceso a un patio.

El apartamento cuenta con terraza y vistas a la ciudad, y tiene 2 dormitorios, una sala de estar, TV de pantalla plana, una cocina equipada con nevera y horno, y 1 baño con bidet. Hay toallas y ropa de cama en el apartamento.

GAM Milano está a 4,5 km del alojamiento, y Villa Necchi Campiglio está a 4,8 km. El aeropuerto (Aeropuerto de Milán - Linate) está a 10 km."
262,Milan Suite Hotel,"8,6",4,1.090,Milán,5.4,https://www.booking.com/hotel/it/the-milan-suite.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AreOi70GwAIB0gIkMmI0OWIxNzMtYzc3ZS00ZDgwLWFmODctODE5ODNkMzdiOGVk2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-03-01&checkout=2025-03-08&dest_id=-121726&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=263&sr_order=popularity&srpvid=190c0ebfd5eb00b2&srepoch=1738721217&all_sr_blocks=18750709_91466320_2_2_0&highlighted_blocks=18750709_91466320_2_2_0&matching_block_id=18750709_91466320_2_2_0&sr_pri_blocks=18750709_91466320_2_2_0__108989&from_sustainable_property_sr=1&from=searchresults,"El Milan Suite Hotel es un establecimiento elegante ubicado a 10 minutos en coche del estadio de San Siro y del centro de exposiciones Fiera Milano. Ofrece alojamientos amplios y de diseño con WiFi gratuita y TV de pantalla plana en todas las habitaciones.

El establecimiento dispone de suites y suites junior modernas con aire acondicionado y baño privado con bañera, zapatillas, artículos de aseo gratuitos y secador de pelo. También se proporcionan microondas y hervidor bajo petición.

Todos los días se sirve un desayuno buffet en un comedor moderno con ventanales. Además, el Milan Suite cuenta con sala de juegos y sala de fitness pequeña.

El hotel está a 600 metros de la estación de trenes de Milano Villapizzone. Hay autobuses públicos que llegan al centro de la ciudad. El hotel también se encuentra a 15 minutos en coche del centro de exposiciones Area Expo."
263,J24 Hotel Milano,"8,5",4,1.008,Milán,3.7,https://www.booking.com/hotel/it/j24-milano.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AreOi70GwAIB0gIkMmI0OWIxNzMtYzc3ZS00ZDgwLWFmODctODE5ODNkMzdiOGVk2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-03-01&checkout=2025-03-08&dest_id=-121726&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=264&sr_order=popularity&srpvid=190c0ebfd5eb00b2&srepoch=1738721217&all_sr_blocks=446233401_0_2_0_0&highlighted_blocks=446233401_0_2_0_0&matching_block_id=446233401_0_2_0_0&sr_pri_blocks=446233401_0_2_0_0__100817&from=searchresults,"El J24 Hotel Milano está situado en Milán, a solo 350 metros de la estación de metro Maciachini, y ofrece habitaciones con aire acondicionado y baño privado. Este hotel de 4 estrellas ofrece WiFi gratuita.

Las habitaciones incluyen escritorio y TV de pantalla plana. También incluyen armario.

Todos los días se sirve un desayuno continental y buffet.

El personal de recepción habla inglés y español y está disponible las 24 horas.

La estación de tren de Garibaldi y la estación de tren de Milano Centrale están a unos 2 km del J24 Hotel Milano. El aeropuerto de Milán-Linate, el más cercano, se halla a 12 km."
264,Garibaldi suite,"4,2",,673,"Centro de Milán, Milán",1.1,https://www.booking.com/hotel/it/corso-garibaldi-suite.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AreOi70GwAIB0gIkMmI0OWIxNzMtYzc3ZS00ZDgwLWFmODctODE5ODNkMzdiOGVk2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-03-01&checkout=2025-03-08&dest_id=-121726&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=265&sr_order=popularity&srpvid=190c0ebfd5eb00b2&srepoch=1738721217&all_sr_blocks=906107401_361698176_2_1_0&highlighted_blocks=906107401_361698176_2_1_0&matching_block_id=906107401_361698176_2_1_0&sr_pri_blocks=906107401_361698176_2_1_0__67288&from=searchresults,"Garibaldi suite se encuentra en el centro de Milán, a 10 min a pie de Arena Civica y a 700 metros de Pinacoteca de Brera, y ofrece aire acondicionado. El alojamiento ofrece vistas al jardín y está a 8 min a pie de Castillo Sforzesco y a 1 km de La Scala.

El apartamento tiene 1 dormitorio, una cocina con nevera y lavavajillas, y 1 baño con ducha, artículos de aseo gratuitos y lavadora. Hay toallas y ropa de cama en el apartamento.

El apartamento ofrece sauna.

Cerca del alojamiento hay puntos de interés como Galería Vittorio Emanuele, Montenapoleone Metro Station y Piazza del Duomo. El aeropuerto (Aeropuerto de Milán - Linate) está a 10 km."
265,Castello Sforzesco Suites by Brera Apartments,"8,4",3,1.349,"Centro de Milán, Milán",0.6,https://www.booking.com/hotel/it/castello-sforzesco-suites-by-brera-apartments.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AreOi70GwAIB0gIkMmI0OWIxNzMtYzc3ZS00ZDgwLWFmODctODE5ODNkMzdiOGVk2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-03-01&checkout=2025-03-08&dest_id=-121726&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=266&sr_order=popularity&srpvid=190c0ebfd5eb00b2&srepoch=1738721217&all_sr_blocks=250497101_103508646_2_0_0&highlighted_blocks=250497101_103508646_2_0_0&matching_block_id=250497101_103508646_2_0_0&sr_pri_blocks=250497101_103508646_2_0_0__134901&from=searchresults,"Castello Sforzesco Suites by Brera Apartments se encuentra en el centro de Milán, a 4 min a pie de Castillo Sforzesco, yofrece habitaciones con aire acondicionado y wifi gratis. El alojamiento está a 8 min a pie de Galería Vittorio Emanuele, a 700 metros de Montenapoleone Metro Station y a 9 min a pie de Piazza del Duomo. Este alojamiento libre de humo se encuentra a 6 min a pie de La Scala.

Todas las unidades de este alojamiento están equipadas con cafetera. Todas las habitaciones están equipadas con baño privado con bidet, artículos de aseo gratuitos y secador de pelo. En el hostal o pensión, cada habitación está equipada con ropa de cama y toallas.

Cerca del alojamiento hay puntos de interés como Duomo Milan, Duomo Metro Station y Pinacoteca de Brera. El aeropuerto (Aeropuerto de Milán - Linate) está a 9 km, y el alojamiento ofrece servicio de traslado de pago para ir o volver del aeropuerto."
266,Monet Golden House,"9,3",4,2.409,"Centro de Milán, Milán",1.1,https://www.booking.com/hotel/it/monet-golden-house.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AreOi70GwAIB0gIkMmI0OWIxNzMtYzc3ZS00ZDgwLWFmODctODE5ODNkMzdiOGVk2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-03-01&checkout=2025-03-08&dest_id=-121726&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=267&sr_order=popularity&srpvid=190c0ebfd5eb00b2&srepoch=1738721217&all_sr_blocks=1159507201_388664762_6_0_0&highlighted_blocks=1159507201_388664762_6_0_0&matching_block_id=1159507201_388664762_6_0_0&sr_pri_blocks=1159507201_388664762_6_0_0__240870&from=searchresults,"Monet Golden House está en el centro de Milán, a 9 min a pie de San Maurizio al Monastero Maggiore y a 1 km de Iglesia de Santa Maria delle Grazie, y ofrece wifi gratis. Este apartamento está a 17 min a pie de Castillo Sforzesco y a 1,4 km de Galería Vittorio Emanuele.

Este apartamento con aire acondicionado se compone de 2 dormitorios independientes, una sala de estar, una cocina totalmente equipada con nevera y lavavajillas, y 1 baño. Hay toallas y ropa de cama en el apartamento.

Cerca del alojamiento hay puntos de interés como Palacio Real, Museo Del Novecento y Dársena de Milán. El aeropuerto (Aeropuerto de Milán - Linate) está a 9 km."
267,Hotel Alessander,"7,6",2,909,"Ripamonti Corvetto, Milán",3.5,https://www.booking.com/hotel/it/alessander.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AreOi70GwAIB0gIkMmI0OWIxNzMtYzc3ZS00ZDgwLWFmODctODE5ODNkMzdiOGVk2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-03-01&checkout=2025-03-08&dest_id=-121726&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=268&sr_order=popularity&srpvid=190c0ebfd5eb00b2&srepoch=1738721217&all_sr_blocks=31036301_88170958_0_2_0&highlighted_blocks=31036301_88170958_0_2_0&matching_block_id=31036301_88170958_0_2_0&sr_pri_blocks=31036301_88170958_0_2_0__90860&from=searchresults,"El Hotel Alessander está situado en el distrito de Vigentino, en el sur de Milán, a 5 km de las autopistas A1 y A51. Ofrece habitaciones con aire acondicionado, conexión gratuita a internet y TV de pantalla plana.

Las habitaciones presentan una decoración de estilo clásico. Disponen de nevera y baño privado con ducha y artículos de aseo.

Este hotel de gestión familiar cuenta con una sala de TV común. La recepción está abierta las 24 horas.

El tranvía que llega a la catedral de Milán y al centro para a 700 metros del Alessander Hotel. La estación de metro Corvetto está a 1,5 km. El centro de exposiciones CityLife se encuentra a 20 minutos en coche."
268,Giardino a Milano - Elegante Appartamento,,4,1.270,Milán,4.0,https://www.booking.com/hotel/it/giardino-a-milano-elegante-appartamento.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AreOi70GwAIB0gIkMmI0OWIxNzMtYzc3ZS00ZDgwLWFmODctODE5ODNkMzdiOGVk2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-03-01&checkout=2025-03-08&dest_id=-121726&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=269&sr_order=popularity&srpvid=190c0ebfd5eb00b2&srepoch=1738721217&all_sr_blocks=1329082201_405469075_2_0_0&highlighted_blocks=1329082201_405469075_2_0_0&matching_block_id=1329082201_405469075_2_0_0&sr_pri_blocks=1329082201_405469075_2_0_0__127010&from=searchresults,"Giardino a Milano - Elegante Appartamento está en Milán, a 15 min a pie de Estación de metro Lambrate, y dispone de alojamiento con jardín, wifi gratis y servicio de conserjería. Este alojamiento con vistas al jardín ofrece patio.

Este apartamento con aire acondicionado consta de 2 dormitorios, una sala de estar, una cocina totalmente equipada con nevera y cafetera, y 1 baño con bidet y ducha. Hay toallas y ropa de cama en el apartamento.

Estación de metro Centrale está a 2,5 km del alojamiento, y GAM Milano está a 3,2 km. El aeropuerto (Aeropuerto de Milán - Linate) está a 7 km."
269,Grazioso bilocale ristrutturato vicino alla Stazione/metro,"8,7",3,683,Milán,6.2,https://www.booking.com/hotel/it/grazioso-bilocale-ristrutturato-vicino-alla-stazione-metro.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AreOi70GwAIB0gIkMmI0OWIxNzMtYzc3ZS00ZDgwLWFmODctODE5ODNkMzdiOGVk2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-03-01&checkout=2025-03-08&dest_id=-121726&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=270&sr_order=popularity&srpvid=190c0ebfd5eb00b2&srepoch=1738721217&all_sr_blocks=1100386301_383365260_2_0_0&highlighted_blocks=1100386301_383365260_2_0_0&matching_block_id=1100386301_383365260_2_0_0&sr_pri_blocks=1100386301_383365260_2_0_0__68309&from=searchresults,"Grazioso bilocale ristrutturato vicino alla Stazione/metro está en Milán y dispone de alojamiento con wifi gratis a 6,1 km de Bosco Verticale, a 6,2 km de Fiera Milano y a 6,6 km de Estación de metro Centrale. Este apartamento se encuentra en un edificio de 1970 y está a 6,6 km de Arena Civica y a 6,9 km de CityLife.

El apartamento tiene 1 dormitorio, TV de pantalla plana con canales vía satélite, una cocina equipada con nevera y lavavajillas, lavadora y 1 baño con bidet. Hay toallas y ropa de cama en el apartamento.

Pinacoteca de Brera está a 7,2 km del alojamiento, y Castillo Sforzesco está a 7,3 km. El aeropuerto (Aeropuerto de Milán - Linate) está a 15 km, y el alojamiento ofrece servicio de traslado de pago para ir o volver del aeropuerto."
270,Duomo,"1,0",,965,"Centro de Milán, Milán",1.4,https://www.booking.com/hotel/it/duomo-milano3.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AreOi70GwAIB0gIkMmI0OWIxNzMtYzc3ZS00ZDgwLWFmODctODE5ODNkMzdiOGVk2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-03-01&checkout=2025-03-08&dest_id=-121726&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=271&sr_order=popularity&srpvid=190c0ebfd5eb00b2&srepoch=1738721217&all_sr_blocks=1311508601_403933794_2_0_0&highlighted_blocks=1311508601_403933794_2_0_0&matching_block_id=1311508601_403933794_2_0_0&sr_pri_blocks=1311508601_403933794_2_0_0__96535&from=searchresults,"Duomo se encuentra en el centro de Milán, a 7 min a pie de Dársena de Milán y a 1,5 km de MUDEC, y ofrece wifi gratis. Este apartamento está a 1,9 km de Museo Del Novecento y a 1,9 km de Galería Vittorio Emanuele.

Este apartamento cuenta con 1 dormitorio, TV de pantalla plana y aire acondicionado.

Cerca del alojamiento hay puntos de interés como Iglesia de Santa Maria delle Grazie, San Maurizio al Monastero Maggiore y Palacio Real. El aeropuerto (Aeropuerto de Milán - Linate) está a 10 km."
271,iH Hotels Milano Ambasciatori,"7,5",4,1.767,"Centro de Milán, Milán",0.5,https://www.booking.com/hotel/it/hotelambasciatori.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AreOi70GwAIB0gIkMmI0OWIxNzMtYzc3ZS00ZDgwLWFmODctODE5ODNkMzdiOGVk2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-03-01&checkout=2025-03-08&dest_id=-121726&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=272&sr_order=popularity&srpvid=190c0ebfd5eb00b2&srepoch=1738721217&all_sr_blocks=8012004_91057277_2_1_0&highlighted_blocks=8012004_91057277_2_1_0&matching_block_id=8012004_91057277_2_1_0&sr_pri_blocks=8012004_91057277_2_1_0__176737&from=searchresults,"El IH Hotels Milano Ambasciatori es un elegante edificio del siglo XX con WiFi gratis en todo el establecimiento, y está a 3 paradas de metro del castillo Sforzesco y a solo 250 metros de la catedral Duomo de Milán y de la estación de metro de San Babila.

Las habitaciones tienen aire acondicionado, suelo de moqueta y TV de pantalla plana vía satélite, y algunas ofrecen vistas al centro histórico.

El restaurante del hotel tiene porche y vistas a la plaza Beccaria, y el desayuno es un abundante buffet continental que incluye productos dulces, salados y sin gluten. Se sirve desayuno de tipo americano bajo petición.

El Milano Ambasciatori se halla a 5 minutos a pie de Via Montenapoleone y del distrito de la moda de Milán, y está frente a la galería comercial Del Corso y a 6 km del aeropuerto internacional de Linate."
272,Darsena Dream,,,1.092,"Centro de Milán, Milán",1.5,https://www.booking.com/hotel/it/darsena-dream.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AreOi70GwAIB0gIkMmI0OWIxNzMtYzc3ZS00ZDgwLWFmODctODE5ODNkMzdiOGVk2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-03-01&checkout=2025-03-08&dest_id=-121726&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=273&sr_order=popularity&srpvid=190c0ebfd5eb00b2&srepoch=1738721217&all_sr_blocks=1345017601_406855908_2_0_0&highlighted_blocks=1345017601_406855908_2_0_0&matching_block_id=1345017601_406855908_2_0_0&sr_pri_blocks=1345017601_406855908_2_0_0__109217&from=searchresults,"Darsena Dream es un alojamiento muy bien situado en el centro de Milán que ofrece balcón. El alojamiento está a 6 min a pie de Dársena de Milán y dispone de wifi gratis en todo el alojamiento.

Este apartamento con aire acondicionado consta de 1 dormitorio, una sala de estar, una cocina totalmente equipada con nevera y cafetera, y 1 baño con bidet y ducha. Hay toallas y ropa de cama en el apartamento.

Cerca del alojamiento hay puntos de interés como MUDEC, Palacio Real y Iglesia de Santa Maria delle Grazie. El aeropuerto (Aeropuerto de Milán - Linate) está a 9 km."
